Country,flopsobs,dummy_old,old_age_n,old_cont_n,old_salary_n,old_cov_20_n2,index_old_202,dummy_sick,sick_cont_n,sick_salary_n,sick_days_n,sick_cov_n2,index_sick2,dummy_unem,unem_cont_n,unem_salary_n,unem_days_n,unem_covn2,index_unem2,index_socseca
Switzerland,35,1.0000,0.5798,0.9778,0.3750,0.7611,0.6734,1.0000,1.0000,0.7261,0.9286,0.8000,0.8637,1.0000,0.9500,0.7541,0.9286,1.0000,0.9082,0.8151
Taiwan,225,1.0000,0.6176,0.9778,0.9350,0.1649,0.6738,1.0000,1.0000,0.5678,0.9286,0.5000,0.7491,1.0000,0.8000,0.9672,0.8000,0.7143,0.8204,0.7478
Tanzania,191,1.0000,0.0000,0.5556,0.5000,0.0000,0.2639,0.0000,0.0000,n.a.,n.a.,0.0000,0.0000,0.0000,n.a.,n.a.,n.a.,n.a.,0.0000,0.0880
Thailand,184,1.0000,0.6261,0.6667,0.9500,0.2399,0.6206,1.0000,0.7500,0.9153,1.0000,0.5000,0.7913,0.0000,n.a.,n.a.,n.a.,n.a.,0.0000,0.4707
Tunisia,189,1.0000,0.4160,0.7778,0.8625,0.6972,0.6884,1.0000,0.8611,0.5763,0.8810,0.6667,0.7463,1.0000,0.7000,1.0000,1.0000,0.0376,0.6844,0.7063
Turkey,190,1.0000,0.6092,0.6914,0.5500,0.9957,0.7116,1.0000,0.6667,0.5763,0.9524,0.6904,0.7214,0.0000,n.a.,n.a.,n.a.,n.a.,0.0000,0.4777
Uganda,192,1.0000,0.0000,0.5556,0.7500,0.0000,0.3264,0.0000,0.0000,n.a.,n.a.,0.0000,0.0000,0.0000,n.a.,n.a.,n.a.,n.a.,0.0000,0.1088
Ukraine,193,1.0000,0.3403,0.4444,0.9000,0.6827,0.5919,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9180,1.0000,0.9131,0.9578,0.8499
United Kingdom,68,1.0000,0.4958,0.7778,0.6900,0.5645,0.6320,1.0000,0.9222,0.9576,0.8333,0.0000,0.6783,1.0000,0.9494,1.0000,0.9000,0.2076,0.7643,0.6915
United States,195,1.0000,0.5252,0.5556,0.6897,0.5400,0.5776,1.0000,1.0000,0.7555,0.9286,0.0000,0.6710,1.0000,0.8000,0.8510,0.9571,0.1510,0.6898,0.6461
Uruguay,194,1.0000,0.5966,0.2222,0.5346,0.6548,0.5021,1.0000,0.7500,0.6332,0.9048,0.7000,0.7470,1.0000,0.9500,0.7765,1.0000,0.4103,0.7842,0.6778
Venezuela,198,1.0000,0.5336,0.6759,0.9035,0.5037,0.6542,1.0000,0.9167,0.8483,0.9286,0.6667,0.8401,1.0000,0.9000,0.9180,0.5714,0.3918,0.6953,0.7299
Vietnam,200,1.0000,0.3277,0.5556,0.7500,0.8542,0.6219,1.0000,1.0000,1.0000,1.0000,0.7500,0.9375,0.0000,n.a.,n.a.,n.a.,n.a.,0.0000,0.5198
Zambia,208,1.0000,0.0000,0.5556,0.7100,0.0000,0.3164,0.0000,0.0000,n.a.,n.a.,0.0000,0.0000,0.0000,n.a.,n.a.,n.a.,n.a.,0.0000,0.1055
Zimbabwe,209,1.0000,0.0000,0.7778,0.8500,0.3197,0.4869,0.0000,0.0000,n.a.,n.a.,0.0000,0.0000,0.0000,n.a.,n.a.,n.a.,n.a.,0.0000,0.1623
