Table 1
Country,flopsobs,dis_race,dis_sex,maternity2,maternityn2,min_age,minwa,wage_min2,index_cra,
Mexico,125,1.0000,1.0000,3.0000,0.2500,14.0000,0.3333,1.0000,0.7167,
Mongolia,131,1.0000,1.0000,4.0000,0.2500,14.0000,0.3333,1.0000,0.7167,
Morocco,120,0.0000,0.0000,3.0000,0.2500,12.0000,0.0000,1.0000,0.2500,
Mozambique,133,1.0000,1.0000,0.0000,0.1667,18.0000,1.0000,1.0000,0.8333,
Netherlands,145,1.0000,1.0000,3.5000,0.3333,16.0000,0.6667,1.0000,0.8000,
New Zealand,148,1.0000,1.0000,1.5000,0.0000,16.0000,0.6667,1.0000,0.7333,
Nigeria,143,1.0000,1.0000,3.5000,0.1250,13.0000,0.1667,1.0000,0.6583,
Norway,146,0.0000,1.0000,3.0000,0.3375,18.0000,1.0000,0.0000,0.4675,
Pakistan,150,0.0000,1.0000,4.2500,0.2917,14.0000,0.3333,1.0000,0.5250,
Panama,151,1.0000,1.0000,3.0000,0.2917,14.0000,0.3333,1.0000,0.7250,
Peru,152,1.0000,1.0000,2.6880,0.2500,12.0000,0.0000,1.0000,0.6500,
Philippines,153,0.0000,1.0000,4.6667,0.1250,15.0000,0.5000,1.0000,0.5250,
Poland,155,1.0000,1.0000,3.5000,0.3542,15.0000,0.5000,1.0000,0.7708,
Portugal,158,1.0000,1.0000,2.0000,0.2500,16.0000,0.6667,1.0000,0.7833,
Romania,163,1.0000,1.0000,7.0000,0.2240,16.0000,0.6667,1.0000,0.7781,
Russian Federation,164,1.0000,1.0000,12.0000,0.3889,16.0000,0.6667,1.0000,0.8111,
Senegal,168,1.0000,1.0000,1.3500,0.2917,16.0000,0.6667,1.0000,0.7917,
Singapore,169,1.0000,0.0000,3.0000,0.1667,12.0000,0.0000,0.0000,0.2333,
Slovak Republic,176,1.0000,1.0000,3.0000,0.5833,15.0000,0.5000,1.0000,0.8167,
Slovenia,177,1.0000,1.0000,3.0000,1.0000,16.0000,0.6667,1.0000,0.9333,
South Africa,206,1.0000,1.0000,4.5000,0.1125,15.0000,0.5000,0.0000,0.5225,
Spain,59,1.0000,1.0000,4.4100,0.2500,16.0000,0.6667,1.0000,0.7833,
Sri Lanka,114,1.0000,1.0000,2.0000,0.2500,15.0000,0.5000,1.0000,0.7500,
